"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.296221441E1,4.870816132E1,2.211670410E0,1.473973717E2,1.940902710E2,9.599999785E-1,2.011000061E2,1.902496412E0,3.811660290E0,3.951077700E0,2.300000000E1
4.396100415E1,4.870815196E1,2.211643180E0,1.466156767E2,1.933085938E2,2.119999886E0,2.378999939E2,1.904379757E0,3.839378595E0,4.009433270E0,2.300000000E1
4.496247863E1,4.870813986E1,2.211625220E0,1.464799814E2,1.931729126E2,1.700000048E0,2.210000000E2,1.905534524E0,3.885653973E0,4.059943199E0,2.300000000E1
4.596480832E1,4.870813112E1,2.211616720E0,1.466203542E2,1.933132935E2,1.450000048E0,2.090000000E2,1.907185140E0,3.874751091E0,4.057695866E0,2.300000000E1
4.696360175E1,4.870811781E1,2.211606760E0,1.463000921E2,1.929930420E2,1.509999990E0,1.973999939E2,1.908551966E0,3.815409899E0,3.954597712E0,2.200000000E1
4.796628785E1,4.870810552E1,2.211606410E0,1.460097426E2,1.927026978E2,1.559999943E0,1.498999939E2,1.909185901E0,3.790092468E0,3.874034166E0,2.200000000E1
4.896792238E1,4.870810119E1,2.211612030E0,1.471078271E2,1.938007812E2,8.500000238E-1,1.245000000E2,1.909661117E0,3.790092468E0,3.692937136E0,2.200000000E1
4.996894951E1,4.870809970E1,2.211618100E0,1.469973559E2,1.936903076E2,9.800000191E-1,1.169000015E2,1.910418042E0,3.790092468E0,3.778996229E0,2.200000000E1
5.096911415E1,4.870809413E1,2.211624030E0,1.453007624E2,1.919937134E2,1.009999990E0,1.306999969E2,1.911698933E0,3.790092468E0,3.625813961E0,2.200000000E1
5.196859894E1,4.870808318E1,2.211629450E0,1.453480018E2,1.920409546E2,1.279999971E0,1.301999969E2,1.915624689E0,3.790092468E0,3.648840666E0,2.100000000E1
5.296049383E1,4.870805006E1,2.211610920E0,1.462133349E2,1.929063110E2,3.660000086E0,1.928000031E2,1.917229683E0,3.819284678E0,3.929160357E0,2.200000000E1
