"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.970907153E1,4.871044957E1,2.195140870E0,1.460815161E2,1.927818604E2,1.240000010E0,1.805000000E2,7.259999538E-1,3.790092468E0,2.500000000E0,2.800000000E1
8.070356237E1,4.871043720E1,2.195147800E0,1.457655966E2,1.924659424E2,1.309999943E0,1.688000031E2,7.274170730E-1,3.790092468E0,2.500000000E0,2.800000000E1
8.171285591E1,4.871042480E1,2.195152260E0,1.454983818E2,1.921987305E2,1.240000010E0,1.716999969E2,7.287700276E-1,3.790092468E0,2.590416431E0,2.800000000E1
8.270769903E1,4.871041336E1,2.195158540E0,1.446632363E2,1.913635864E2,1.240000010E0,1.651000061E2,7.301658324E-1,3.790092468E0,2.603890181E0,2.800000000E1
8.370077314E1,4.871040213E1,2.195167040E0,1.448374303E2,1.915377808E2,1.289999962E0,1.596000061E2,7.317230011E-1,3.790092468E0,2.694904804E0,2.800000000E1
8.470939528E1,4.871039015E1,2.195178030E0,1.442644940E2,1.909648438E2,1.289999962E0,1.505000000E2,7.335139014E-1,3.790092468E0,2.590834856E0,2.800000000E1
8.570467221E1,4.871037553E1,2.195188270E0,1.430981113E2,1.897984619E2,1.259999990E0,1.558999939E2,7.355102248E-1,3.790092468E0,2.525449991E0,2.900000000E1
8.670873549E1,4.871036090E1,2.195204040E0,1.428448174E2,1.895451660E2,1.350000024E0,1.380000000E2,7.373159026E-1,3.790092468E0,2.500000000E0,3.000000000E1
8.770404413E1,4.871034884E1,2.195220520E0,1.429977139E2,1.896980591E2,1.259999990E0,1.358000031E2,7.390554713E-1,3.790092468E0,2.500000000E0,3.100000000E1
8.870768064E1,4.871033943E1,2.195239460E0,1.430506981E2,1.897510376E2,1.299999952E0,1.221999969E2,7.407684722E-1,3.790092468E0,2.500000000E0,3.100000000E1
